City	Country	Nickname, comma seperated EDIT HERE, free form list	Nickname, default	Nickname, metro (div)	Someone from here is called	Plural form (demonym)	Type	Scale	Megacity	State or province	Lat	Long	GeoNamesID
Hobbs	United States of America						Populated place	7	0	New Mexico	32.71	-103.14	5471578
Hohhot	China						Admin-1 capital	4	1	Nei Mongol	40.82	111.66	2036892
Homer	United States of America	Halibut Capital of the world					Populated place	7	0	Alaska	59.64	-151.55	5864145
Homestead	United States of America						Populated place	8	0	Florida	25.47	-80.48	4159050
Hong Kong	Hong Kong S.A.R.	HK, Honkers, Pearl of the Orient, The Big Lychee, Heaven of Shopping, Asia's World City	Pearl of the Orient	HK	Hongkonger		Admin-0 region capital	1	1		22.3	114.19	1819729
Honiara	Solomon Islands						Admin-0 capital	3	0	Guadalcanal	-9.44	159.95	2108502
Honolulu	United States of America	HNL, Crossroads of the Pacific, Sheltered Bay, The Big Pineapple, Paradise	The Big Pineapple	HNL			Admin-1 capital	4	1	Hawaii	21.31	-157.86	5856195
Hood River	United States of America	Windsurfing Capital of the World	Windsurfing Capital of the World				Populated place			Oregon			
Hoonah	United States of America						Populated place	7	0	Alaska	58.12	-135.44	-1
Hooper Bay	United States of America						Populated place	6	0	Alaska	61.53	-166.1	5864197
Hopkinsville	United States of America	Hoptown	Hoptown				Populated place	8	0	Kentucky	36.87	-87.49	4295251
Hot Springs	United States of America						Populated place	7	0	Arkansas	34.5	-93.06	4115412
Hotan	China	City of Martyrs, Shahīdān-i Khotan	City of Martyrs				Populated place	3	0	Xinjiang Uygur	37.1	79.93	1281019
Houlton	United States of America						Populated place	8	0	Maine	46.13	-67.84	4967563
Houma	United States of America						Populated place	7	0	Louisiana	29.6	-90.72	4328010
Houston	United States of America	H-town, Magnolia City	Magnolia City		Houstonian		Populated place	1	1	Texas	29.82	-95.34	4699066
Huaibei	China						Populated place	6	1	Anhui	33.95	116.75	1807700
Huainan	China						Populated place	3	1	Anhui	32.63	116.98	1807681
Huaiyin	China						Populated place	4	1	Jiangsu	33.58	119.03	1797873
Huambo	Angola						Admin-1 capital	3	1	Huambo	-12.75	15.76	3348313
Hubli	India						Populated place	4	1	Karnataka	15.36	75.13	1269920
Hughes	United States of America						Populated place	7	0	Alaska	66.05	-154.25	-1
Huntington	United States of America						Populated place	7	0	West Virginia	38.42	-82.45	4809537
Huntsville	United States of America						Populated place	6	0	Alabama	34.72	-86.61	4068590
Huntsville	United States of America	Death Penalty City, Execution Capital of the World	Death Penalty City				Populated place	7	0	Texas	30.72	-95.55	4699540
Hutchinson	United States of America						Populated place	8	0	Kansas	38.07	-97.92	4273299
Huzhou	China						Populated place	6	1	Zhejiang	30.87	120.1	1806535
Hydaburg	United States of America						Populated place	8	0	Alaska	55.21	-132.8	-1
Hyderabad	India	Cyberabad, The City of Nizam's, The City of Pearls, The City of Nawab's	Cyberabad				Admin-1 capital	1	1	Andhra Pradesh	17.4	78.48	1269843
Hyderabad	Pakistan						Populated place	3	1	Sind	25.38	68.37	1176734
Ibadan	Nigeria						Populated place	4	1	Oyo	7.38	3.93	2339354
Ica	Peru						Admin-1 capital	3	0	Ica	-14.07	-75.73	3938527
Idaho Falls	United States of America						Populated place	6	0	Idaho	43.47	-112.03	5596475
Iloilo	Philippines						Populated place	3	0	Iloilo	10.71	122.55	1711005
Ilorin	Nigeria						Admin-1 capital	6	1	Kwara	8.49	4.55	2337639
Incheon	South Korea						Populated place	4	1	Inch'on-gwangyoksi	37.48	126.64	1843564
Independence	United States of America						Populated place	8	0	Missouri	39.09	-94.42	4391812
Indianapolis	United States of America	Indy, Naptown, Circle City, Amateur Sports Capital of the World	Indy		Indianapolitan		Admin-1 capital	4	1	Indiana	39.75	-86.17	4259418
Indore	India						Populated place	4	1	Madhya Pradesh	22.72	75.87	1269743
International Falls	United States of America	Frostbite Falls, Icebox of the Nation, Nation's Icebox	Frostbite Falls				Populated place	4	0	Minnesota	48.6	-93.41	5031404
Iowa City	United States of America	People's Republic of Johnson County					Populated place	8	0	Iowa	41.66	-91.53	4862034
Iquique	Chile						Admin-1 capital	3	0	Tarapacá	-20.25	-70.13	3887127
Irbil	Iraq						Admin-1 capital	6	1	Arbil	36.18	44.01	95446
Irkutsk	Russia						Admin-1 capital	3	0	Irkutsk	52.32	104.25	2023469
Iron Mountain	United States of America						Populated place	8	0	Michigan	45.82	-88.06	4997232
Ironwood	United States of America						Populated place	8	0	Michigan	46.46	-90.16	4997249
Irvine	United States of America						Populated place	7	0	California	33.68	-117.83	5359777
Isfahan	Iran	Half of the World					Admin-1 capital	3	1	Esfahan	32.7	51.7	418863
Islamabad	Pakistan						Admin-0 capital	3	1	F.C.T.	33.7	73.17	1176615
Istanbul	Turkey	Seven Hills, The Second Rome					Admin-1 capital	1	1	Istanbul	41.1	29.01	745044
Ithaca	United States of America						Populated place	6	0	New York	42.44	-76.5	5122432
Izmir	Turkey	Le Perla de L'lonie, Perl of Aegean Sea					Admin-1 capital	4	1	Izmir	38.44	27.15	311046
Jabalpur	India						Populated place	4	1	Madhya Pradesh	23.18	79.96	1269633
Jackson	United States of America	Crossroads of the South	Crossroads of the South				Admin-1 capital	3	0	Mississippi	32.3	-90.18	4431410
Jackson	United States of America						Populated place	7	0	Tennessee	35.61	-88.81	4632595
Jacksonville	United States of America	Jax, First Coast, The River City, Duval, J-ville, The Bold New City Of The South	Jax	Duval			Populated place	4	1	Florida	30.33	-81.67	4160021
Jacksonville	United States of America						Populated place	7	0	North Carolina	34.75	-77.43	4473083
Jaipur	India	The Pink City					Admin-1 capital	1	1	Rajasthan	26.92	75.81	1269515
Jakarta	Indonesia	The Big Durian, Batavia, The Metropolitan City, Queen from the East 	The Big Durian				Admin-0 capital	1	1	Jakarta Raya	-6.17	106.83	1642911
Jamestown	United States of America						Populated place	7	0	New York	42.1	-79.24	5122534
Jamestown	United States of America						Populated place	7	0	North Dakota	46.91	-98.7	5059836
Jammu	India						Populated place	4	1	Jammu and Kashmir	32.71	74.85	1269321
Jamshedpur	India						Populated place	3	1	Jharkhand	22.79	86.2	1269300
Janesville	United States of America						Populated place	8	0	Wisconsin	42.68	-89.02	5257754
Jeddah	Saudi Arabia						Populated place	1	1	Makkah	21.52	39.22	105343
Jefferson City	United States of America						Admin-1 capital	6	0	Missouri	38.58	-92.17	4392388
Jerusalem	Israel	City of David, City of Peace					Admin-0 capital	3	0	Jerusalem	31.78	35.21	281184
Ji-Parana	Brazil						Populated place	3	0	Rondônia	-10.83	-61.97	-1
Jiamusi	China						Populated place	4	1	Heilongjiang	46.83	130.35	2036581
Jianmen	China						Populated place	6	1	Hubei	30.65	113.16	1805611
Jiaozuo	China						Populated place	6	1	Henan	35.25	113.22	1805987
Jiaxing	China						Populated place	6	1	Zhejiang	30.77	120.75	1805953
Jiayuguan	China						Populated place	3	0	Gansu	39.82	98.3	1280957
Jilin	China						Populated place	4	1	Jilin	43.85	126.55	2036502
Jinan	China						Admin-1 capital	1	1	Shandong	36.67	117	1805753
Jining	China						Populated place	6	1	Shandong	35.4	116.55	1805518
Jinxi	China						Populated place	4	1	Liaoning	40.75	120.83	2036434
Jinzhou	China						Populated place	6	1	Liaoning	41.12	121.1	2036427
Jixi	China						Populated place	4	1	Heilongjiang	45.3	130.97	2036389
Joao Pessoa	Brazil						Admin-1 capital	6	1	Paraíba	-7.1	-34.88	3397277
Jodhpur	India	The Blue City, The Sun City					Populated place	4	1	Rajasthan	26.29	73.02	1268865
Johannesburg	South Africa	Joburg, Jozi	Joburg				Admin-0 capital	1	1	Gauteng	-26.17	28.03	993800
John Day	United States of America						Populated place	7	0	Oregon	44.42	-118.95	5733770
Johnson City	United States of America						Populated place	8	0	Tennessee	36.31	-82.35	4633419
Johnstown	United States of America						Populated place	7	0	Pennsylvania	40.33	-78.92	5195561
Johor Bahru	Malaysia	JB	JB				Admin-1 capital	6	1	Johor	1.48	103.73	1732752
Joinville	Brazil						Populated place	6	1	Santa Catarina	-26.32	-48.84	3459712
Joliet	United States of America						Populated place	8	0	Illinois	41.53	-88.11	4898015
Jonesboro	United States of America						Populated place	7	0	Arkansas	35.84	-90.7	4116834
Joplin	United States of America						Populated place	7	0	Missouri	37.08	-94.51	4392768
Juba	Sudan						Admin-0 capital alt	4	0	Moyo	4.83	31.58	373303
Jullundur	India						Populated place	4	1	Punjab	31.33	75.57	1268782
Juneau	United States of America						Admin-1 capital	3	0	Alaska	58.31	-134.42	5554072
Kabul	Afghanistan						Admin-0 capital	1	1	Kabul	34.52	69.18	1138958
Kaduna	Nigeria						Admin-1 capital	4	1	Kaduna	10.52	7.44	2335727
Kaifeng	China						Populated place	6	1	Henan	34.85	114.35	1804879
Kailua-Kona	United States of America						Populated place	7	0	Hawaii	19.64	-156	5847504
Kaktovik	United States of America						Populated place	6	0	Alaska	70.09	-143.6	-1
Kalamazoo	United States of America	The Celery City, Mall City, Kazoo, K-zoo, The Zoo, Bedding Plant Capital of the World, K’Zoo, The Paper City	Celery City				Populated place	7	0	Michigan	42.29	-85.59	4997787
Kalispell	United States of America						Populated place	6	0	Montana	48.2	-114.32	5660340
Kaltag	United States of America						Populated place	8	0	Alaska	64.33	-158.72	-1
Kampala	Uganda						Admin-0 capital	3	1	Kampala	0.32	32.58	232422
Kanab	United States of America	Utah's Little Hollywood, Greatest Earth on Show	Greatest Earth on Show				Populated place	7	0	Utah	37.05	-112.53	5541458
Kananga	Congo (Kinshasa)						Admin-1 capital	4	1	Kasaï-Occidental	-5.89	22.4	214481
Kandahar	Afghanistan						Admin-1 capital	3	0	Kandahar	31.61	65.69	1138336
Kankakee	United States of America						Populated place	7	0	Illinois	41.12	-87.86	4898182
Kano	Nigeria						Admin-1 capital	1	1	Kano	12	8.52	2335204
Kanpur	India						Populated place	1	1	Uttar Pradesh	26.46	80.32	1267995
Kansas City	United States of America						Populated place	8	0	Kansas	39.11	-94.63	4273837
Kansas City	United States of America	KC, City of Fountains, KCK, BBQ Capital of the World, Paris of the Plains	City of Fountains	KCK			Populated place	4	1	Missouri	39.11	-94.6	4393217
Kaohsiung	Taiwan						Populated place	3	1	Kaohsiung City	22.63	120.27	1673820
Karachi	Pakistan	City Of Lights					Admin-1 capital	1	1	Sind	24.87	66.99	1174872
Karaj	Iran						Populated place	7	1	Tehran	35.8	50.97	128747
Karluk	United States of America						Populated place	7	0	Alaska	57.57	-154.46	-1
Kashi	China						Populated place	3	0	Xinjiang Uygur	39.48	75.97	1280849
Kassala	Sudan						Populated place	3	0	Kassala	15.46	36.39	372753
Kathmandu	Nepal						Admin-0 capital	3	1	Bhaktapur	27.72	85.32	1283240
Kazan	Russia						Admin-1 capital	3	1	Tatarstan	55.75	49.13	551487
Kearney	United States of America						Populated place	8	0	Nebraska	40.7	-99.08	5071348
Kelang	Malaysia						Populated place	6	1	Selangor	3.02	101.55	1732905
Kenai	United States of America						Populated place	6	0	Alaska	60.55	-151.26	5866063
Kennewick	United States of America						Populated place	8	0	Washington	46.21	-119.14	5799610
Kermanshah	Iran						Admin-1 capital	6	1	Kermanshah	34.38	47.06	128226
Ketchikan	United States of America	King Salmon Capital of the World					Populated place	6	0	Alaska	55.36	-131.66	5554428
Key West	United States of America				Conch		Populated place	6	0	Florida	24.56	-81.78	4160812
Kharkiv	Ukraine						Admin-1 capital	4	1	Kharkiv	50	36.25	706483
Khartoum	Sudan	The Triangular City					Admin-0 capital	1	1	Khartoum	15.59	32.53	379252
Khulna	Bangladesh						Admin-1 capital	4	1	Khulna	22.84	89.56	1336135
Kiev	Ukraine	Mother of Rus' Cities, Mater’ Gorodov Rrus'kih	Mother of Rus' Cities				Admin-0 capital	1	1	Kiev	50.43	30.52	703448
Kigali	Rwanda						Admin-0 capital	4	1	Kigali City	-1.95	30.06	202061
Kikwit	Congo (Kinshasa)						Populated place	3	0	Bandundu	-5.03	18.85	2314705
Killeen	United States of America						Populated place	7	0	Texas	31.12	-97.73	4703223
King Salmon	United States of America						Populated place	7	0	Alaska	58.69	-156.66	-1
Kingman	United States of America						Populated place	7	0	Arizona	35.19	-114.05	5301067
Kingsport	United States of America						Populated place	8	0	Tennessee	36.55	-82.56	4634662
Kingston	Jamaica						Admin-0 capital	3	0	Kingston	17.98	-76.77	3489854
Kingstown	Saint Vincent and the Grenadines						Admin-0 capital	4	0		13.15	-61.21	4359981
Kingsville	United States of America						Populated place	7	0	Texas	27.52	-97.86	4703384
Kinshasa	Congo (Kinshasa)	Kin la Belle	Kin la Belle				Admin-0 capital	1	1	Kinshasa City	-4.33	15.31	2314302
Kirksville	United States of America						Populated place	8	0	Missouri	40.19	-92.58	5055787
Kissimmee	United States of America						Populated place	7	0	Florida	28.29	-81.41	4160983
Kitty Hawk	United States of America						Populated place	7	0	North Carolina	36.08	-75.7	4474505
Kivalina	United States of America						Populated place	7	0	Alaska	67.73	-164.49	-1
Klamath Falls	United States of America						Populated place	6	0	Oregon	42.23	-121.78	5735238
Knoxville	United States of America	The Marble City, Knoxvegas, K-ville					Populated place	4	0	Tennessee	35.97	-83.92	4634946
København	Denmark	Kjøben, Copenhagen, Staden, CPH, KBH	Kjøben		københavner(e)		Admin-0 capital	1	1	Hovedstaden	55.68	12.56	2618425
Kobuk	United States of America						Populated place	8	0	Alaska	66.91	-156.88	-1
Kochi	India	Queen of the Arabian Sea					Populated place	4	1	Kerala	10.02	76.22	1273874
Kodiak	United States of America	King Crab Capital					Populated place	3	0	Alaska	57.79	-152.41	5866583
Kokomo	United States of America						Populated place	7	0	Indiana	40.49	-86.13	4922388
Kolkata	India	City of Palaces, City of Joy, Paris of the East, The Cultural Capital of India, India's Football Capital, City of Intellectuals, Cal					Admin-1 capital	1	1	West Bengal	22.49	88.32	1275004
Kolwezi	Congo (Kinshasa)						Admin-1 capital	3	0	Katanga	-10.72	25.47	922773
Konya	Turkey						Admin-1 capital	4	1	Konya	37.88	32.48	306571
Kota	India						Populated place	4	1	Rajasthan	25.18	75.83	1266049
Kotlit	United States of America						Populated place	7	0	Alaska	63.03	-163.55	-1
Kotzebue	United States of America						Populated place	7	0	Alaska	66.9	-162.6	5866726
Koyuk	United States of America						Populated place	7	0	Alaska	64.94	-161.16	-1
Koyukuk	United States of America						Populated place	8	0	Alaska	64.88	-157.7	-1
Kozhikode	India						Populated place	3	1	Kerala	11.25	75.77	1265873
Kraków	Poland				Krakovian		Admin-1 capital	4	1	Lesser Poland	50.06	19.96	3094802
Krasnoyarsk	Russia						Admin-1 capital	3	1	Krasnoyarsk	56.01	92.87	1502026
Kuala Lumpur	Malaysia	KL, Garden City of Lights,  Golden Triangle	KL				Admin-0 capital	1	1	Selangor	3.17	101.7	1735161
Kumasi	Ghana						Admin-1 capital	6	1	Ashanti	6.69	-1.63	2298890
Kunming	China	Spring City	Spring City				Admin-1 capital	1	1	Yunnan	25.07	102.68	1804651
Kuwait	Kuwait						Admin-0 capital	1	1	Al Kuwayt	29.37	47.98	285787
Kyoto	Japan	Kyo, Ancient City, City of History			Kyotoite		Admin-0 capital alt	4	1	Kyoto	35.03	135.75	1857910
La Crosse	United States of America						Populated place	8	0	Wisconsin	43.8	-91.24	5258957
La Grande	United States of America						Populated place	8	0	Oregon	45.32	-118.09	5735537
La Grange	United States of America						Populated place	8	0	Georgia	33.04	-85.03	4204230
La Paz	Bolivia						Admin-0 capital	3	1	La Paz	-16.5	-68.15	3911925
Laayoune	Morocco						Admin-0 capital alt	4	0	Laâyoune - Boujdour - Sakia El Hamra	27.15	-13.2	2462881
Lafayette	United States of America						Populated place	8	0	Indiana	40.42	-86.88	4922462
Lafayette	United States of America						Populated place	6	0	Louisiana	30.2	-92.02	4330145
Lagos	Nigeria						Admin-0 capital alt	1	1	Lagos	6.44	3.39	735497
Lahore	Pakistan	Heart Of Pakistan					Admin-1 capital	1	1	Punjab	31.56	74.35	1172451
Lake Charles	United States of America						Populated place	8	0	Louisiana	30.23	-93.22	4330236
Lake City	United States of America						Populated place	8	0	Florida	30.19	-82.64	4161187
Lake Havasu City	United States of America						Populated place	8	0	Arizona	34.5	-114.31	5301388
Lake Minchumina	United States of America						Populated place	8	0	Alaska	63.88	-152.31	-1
Lakeville	United States of America						Populated place	7	0	Minnesota	44.65	-93.24	5034059
Lamar	United States of America						Populated place	7	0	Colorado	38.09	-102.62	5427957
Lancaster	United States of America						Populated place	6	0	California	34.7	-118.14	-1
Lancaster	United States of America						Populated place	8	0	Ohio	39.72	-82.61	4516233
Lancaster	United States of America						Populated place	8	0	Pennsylvania	40.04	-76.31	5197079
Lander	United States of America						Populated place	8	0	Wyoming	42.83	-108.73	5830007
Langfang	China						Populated place	6	1	Hebei	39.52	116.68	1804540
Lansing	United States of America						Admin-1 capital	6	0	Michigan	42.73	-84.55	4998830
Lanzhou	China						Admin-1 capital	1	1	Gansu	36.06	103.79	1804430
Laramie	United States of America	Gem City of the Plains	Gem City of the Plains				Populated place	6	0	Wyoming	41.31	-105.59	5830062
Laredo	United States of America	The Gateway City, The City Under Seven Flags					Populated place	4	0	Texas	27.51	-99.51	4705349
Las Cruces	United States of America	Cruces	Cruces				Populated place	7	0	New Mexico	32.31	-106.78	5475352
Las Vegas	United States of America	Vegas, Sin City, Glitter Gulch, The Strip, Lost Wages	Sin City				Populated place	3	1	Nevada	36.21	-115.22	5506956
Las Vegas	United States of America						Populated place	8	0	New Mexico	35.6	-105.22	5475433
Laurel	United States of America						Populated place	8	0	Mississippi	31.7	-89.14	4433039
Lawrence	United States of America						Populated place	8	0	Kansas	38.96	-95.26	4274277
Lawton	United States of America						Populated place	7	0	Oklahoma	34.6	-98.41	4540737
Lead	United States of America						Populated place	8	0	South Dakota	44.35	-103.77	5766425
Leeds	United Kingdom	The Shopping Mecca of the North			Leodensian (Ledesia)		Populated place	6	1	West Yorkshire	53.83	-1.58	2644688
Leesburg	United States of America						Populated place	8	0	Florida	28.81	-81.88	4161771
Leon	Mexico	The Shoe Capital of México					Populated place	4	1	Guanajuato	21.15	-101.7	3998655
Leshan	China						Populated place	6	1	Sichuan	29.57	103.73	1804153
Leticia	Brazil						Admin-1 capital	3	0	Amazonas	-4.22	-69.94	3676623
Lewiston	United States of America						Populated place	6	0	Idaho	46.42	-117.02	5598538
Lewiston	United States of America						Populated place	7	0	Maine	44.1	-70.22	4969398
Lexington	United States of America	Horse Capital of the World					Populated place	6	0	Kentucky	38.05	-84.5	4297983
Lhasa	China						Admin-1 capital	3	0	Xizang	29.65	91.1	1280737
Liaoyang	China						Populated place	6	1	Liaoning	41.28	123.18	2036113
Libreville	Gabon						Admin-0 capital	3	0	Estuaire	0.39	9.46	2399697
Lihue	United States of America						Populated place	7	0	Hawaii	21.98	-159.37	5850248
Lille	France	The capital of Flanders					Admin-1 region capital	6	1	Nord-Pas-de-Calais	50.65	3.08	2998324
Lilongwe	Malawi						Admin-0 capital	3	0	Lilongwe	-13.98	33.78	927967
Lima	Peru	Ciudad de los Reyes, City of Kings	Ciudad de los Reyes		Limeño, Limenian, capitalino		Admin-0 capital	1	1	Lima	-12.05	-77.05	3936456
Lima	United States of America						Populated place	7	0	Ohio	40.74	-84.11	5160783
Lincoln	United States of America	Steak Capital of the World					Admin-1 capital	6	0	Nebraska	40.82	-96.68	5072006
Linfen	China						Populated place	6	1	Shanxi	36.08	111.52	1803567
Lingyuan	China						Populated place	6	1	Liaoning	41.24	119.4	2036075
Linyi	China						Populated place	4	1	Shandong	35.08	118.33	1803318
Lisbon	Portugal	White City, City of the Seven Hills, The city of a thousand colors					Admin-0 capital	1	1	Lisboa	38.72	-9.14	2267057
Little Rock	United States of America						Admin-1 capital	6	0	Arkansas	34.74	-92.33	4119403
Liuzhou	China						Populated place	6	1	Guangxi	24.28	109.25	1803300
Liverpool	United Kingdom	The Pool, Scouseland , Beatle City, The 'Pool	The 'Pool		Liverpudlian, Scouser, Scouse		Populated place	6	1	Merseyside	53.42	-2.92	2644210
Ljubljana	Slovenia						Admin-0 capital	4	0	Osrednjeslovenska	46.06	14.51	3196359
Lobamba	Swaziland						Admin-0 capital alt	6	0	Manzini	-26.47	31.2	935048
Lódz	Poland	HollyŁódź, HollyLodz	HollyŁódź				Admin-1 capital	6	1	Lódz	51.77	19.45	3093133
Logan	United States of America						Populated place	7	0	Utah	41.74	-111.83	5777544
Lome	Togo						Admin-0 capital	3	1	Maritime	6.13	1.22	2365267
London	United States of America						Populated place	8	0	Kentucky	37.13	-84.08	4298960
London	United Kingdom	LDN, The Big Smoke, Town, The Square Mile, London Town			Londoner, Cockney		Admin-0 capital	1	1	Westminster	51.5	-0.12	2643743
Long Beach	United States of America	LBC, Long Belch					Populated place	6	0	California	33.79	-118.16	5367929
Longview	United States of America						Populated place	8	0	Texas	32.5	-94.74	4707814
Longview	United States of America						Populated place	7	0	Washington	46.14	-122.94	5801617
Longyearbyen	Svalbard and Jan Mayen Islands						Admin-0 region capital	6	0	Svalbard	78.22	15.55	2729907
Los Alamos	United States of America						Populated place	6	0	New Mexico	35.89	-106.3	5476825
Los Angeles	United States of America	L.A., City of Angels, Tinseltown, La-La Land, LAX, Hell A, Southland, Lost Angeles, Lotus Land, The Big Orange, The Plains of Id, El Lay, Lost Angels, Tehrangeles, Shangri-LA, SC, Southern California, Smell A	L.A.	Southern California	Angeleno	Angelenos	Populated place	1	1	California	33.99	-118.18	5368361
Louisville	United States of America	Derby City, River City, Gateway to the South, Falls City, The Ville	Derby City				Populated place	6	1	Kentucky	38.23	-85.75	4299276
Lowell	United States of America	The Mill City, Manchester of America	Mill City				Populated place	7	0	Massachusetts	42.63	-71.32	4942618
Luan	China						Populated place	6	1	Anhui	31.75	116.48	1802206
Luanda	Angola	São Paulo da Assunção de Loanda					Admin-0 capital	1	1	Luanda	-8.84	13.23	2240449
Lubbock	United States of America						Populated place	6	0	Texas	33.58	-101.88	5525577
Lubumbashi	Congo (Kinshasa)						Populated place	3	1	Katanga	-11.68	27.48	922704
Lucknow	India						Admin-1 capital	4	1	Uttar Pradesh	26.86	80.91	1264733
Ludhiana	India						Populated place	4	1	Punjab	30.93	75.87	1264728
Lufkin	United States of America						Populated place	7	0	Texas	31.34	-94.73	4708308
Lumberton	United States of America						Populated place	8	0	North Carolina	34.63	-79.01	4477525
Luoyang	China						Populated place	6	1	Henan	34.68	112.47	1801792
Lusaka	Zambia						Admin-0 capital	3	1	Lusaka	-15.42	28.28	909137
Luxembourg	Luxembourg				Luxembourger		Admin-0 capital	6	0	Luxembourg	49.61	6.13	2960316
Luxor	Egypt						Populated place	3	0	Qina	25.7	32.65	360502
Luzhou	China						Populated place	6	1	Sichuan	28.88	105.38	1801640
Lynchburg	United States of America						Populated place	6	0	Virginia	37.41	-79.14	4771075
Lyon	France	The capital of the Gauls, The city of light					Admin-1 region capital	3	1	Rhône-Alpes	45.77	4.83	2996944
Macao	China	Asia's Las Vegas, Monte Carlo of the East, Cidade do Santo Nome de Deus, City of the Holy Name of God, Treasurous Land of Lotus											
Macapá	Brazil						Admin-1 capital	3	0	Amapá	0.03	-51.05	3396016
Macau	Macau S.A.R						Admin-0 region capital	6	0		22.2	113.55	3395998
Maceio	Brazil						Admin-1 capital	4	1	Alagoas	-9.62	-35.73	3395981
Macon	United States of America						Populated place	7	0	Georgia	32.85	-83.63	4207400
Madison	United States of America	Madtown, Left Coast of Wisconsin, 78 square miles surrounded by reality, Four Lake City	Madtown				Admin-1 capital	6	0	Wisconsin	43.07	-89.4	5261457
Madisonville	United States of America						Populated place	8	0	Kentucky	37.33	-87.5	4299670
Madrid	Spain	Magerit, The Royal City, Los Madriles	Magerit		Madrileño, madrideño, matritense, mayrití, mageritense, Madrilenian		Admin-0 capital	1	1	Comunidad de Madrid	40.4	-3.68	3675707
Madurai	India						Populated place	3	1	Tamil Nadu	9.92	78.12	1264521
Magadan	Russia						Admin-1 capital	3	0	Maga Buryatdan	59.57	150.81	2123628
Maiduguri	Nigeria						Admin-1 capital	4	1	Borno	11.85	13.16	2331447
Majuro	Marshall Islands						Admin-0 capital	6	0		7.1	171.38	2113779
Makkah	Saudi Arabia						Populated place	3	1	Makkah	21.43	39.82	104515
Malabo	Equatorial Guinea						Admin-0 capital	3	0	Bioko Norte	3.75	8.78	2309527
Malang	Indonesia	City of Students, City of Flowers, The Apple City					Populated place	4	1	Jawa Timur	-7.98	112.61	1636722
Male	Maldives						Admin-0 capital	3	0		4.17	73.5	3174186
Managua	Nicaragua						Admin-0 capital	3	1	Managua	12.15	-86.27	3617763
Manama	Bahrain						Admin-0 capital	4	0		26.24	50.58	290340
Manaus	Brazil						Admin-1 capital	3	1	Amazonas	-3.1	-60	3663517
Manchester	United Kingdom	Madchester, Rainy City, Mancland, Manc	Rainy City		Mancunian		Populated place	4	1	Manchester	53.5	-2.25	2643123
Manchester	United States of America						Populated place	7	0	New Hampshire	43	-71.46	5089178
Mandalay	Myanmar						Admin-1 capital	4	1	Mandalay	21.97	96.09	1311874
Manhattan	United States of America	The City			Manhattanite, New Yorker		Populated place	8	0	Kansas	39.19	-96.59	4274994
Manila	Philippines	Pearl of the Orient, City by the Bay					Admin-0 capital	1	1	Metropolitan Manila	14.6	120.98	1701668
Mankato	United States of America						Populated place	8	0	Minnesota	44.16	-94	5036420
Mansfield	United States of America						Populated place	8	0	Ohio	40.76	-82.52	5161723
Maputo	Mozambique						Admin-0 capital	3	1	Maputo	-25.96	32.59	1040652
Mar del Plata	Argentina						Populated place	3	0	Ciudad de Buenos Aires	-38	-57.58	3430863
Maraba	Brazil						Populated place	3	0	Pará	-5.35	-49.12	3395503
Maracaibo	Venezuela	La Tierra del Sol Amada, The Beloved Land of the Sun					Admin-1 capital	1	1	Zulia	10.73	-71.66	3633009
Maracay	Venezuela	 La Ciudad Jardín de Venezuela, Venezuela's Garden City					Populated place	6	1	Aragua	10.25	-67.6	3632998
Mariehamn	Aland						Admin-0 region capital	10	0	Finström	60.1	19.95	3041732
Marietta	United States of America						Populated place	8	0	Georgia	33.96	-84.54	4207783
Marinette	United States of America						Populated place	7	0	Wisconsin	45.1	-87.63	5261852
Marion	United States of America						Populated place	8	0	Indiana	40.56	-85.66	4923210
Maroua	Cameroon						Admin-1 capital	3	0	Extrême-Nord	10.6	14.32	2228373
Marquette	United States of America						Populated place	7	0	Michigan	46.55	-87.41	5000947
Marrakesh	Morocco						Admin-1 capital	3	1	Marrakech - Tensift - Al Haouz	31.63	-8	2542997
Marseille	France	The Phocean city					Admin-1 region capital	4	1	Provence-Alpes-Côte-d'Azur	43.29	5.38	2995469
Martinez	United States of America	Birthplace of the Martini, Birthplace of Joe Dimaggio					Populated place			California	38.02	-122.13	5370868
Maseru	Lesotho						Admin-0 capital	3	0	Maseru	-29.32	27.48	932505
Mashhad	Iran						Admin-1 capital	1	1	Razavi Khorasan	36.27	59.57	124665
Mason City	United States of America	MSCY	MSCY				Populated place	7	0	Iowa	43.15	-93.2	4866445
Matadi	Congo (Kinshasa)						Admin-1 capital	3	0	Bas-Congo	-5.82	13.45	2313002
Mattapoisett	United States of America	Matta-p, Matty-p	Matta-p				Populated place			Massachusetts			
Mazatlan	Mexico						Populated place	3	0	Sinaloa	23.22	-106.42	3996322
Mbabane	Swaziland						Admin-0 capital	4	0	Hhohho	-26.32	31.13	934985
Mbeya	Tanzania						Admin-1 capital	3	0	Mbeya	-8.89	33.43	154380
Mbuji-Mayi	Congo (Kinshasa)						Admin-1 capital	4	1	Kasaï-Oriental	-6.15	23.6	209228
McAlester	United States of America						Populated place	8	0	Oklahoma	34.93	-95.77	4542367
McAllen	United States of America	Square Dance Capital of the World	Square Dance Capital of the World				Populated place	8	0	Texas	26.2	-98.23	4709796
McCook	United States of America						Populated place	7	0	Nebraska	40.21	-100.63	5697383
McGrath	United States of America						Populated place	7	0	Alaska	62.96	-155.6	-1
